str,vi_VN,en_US
field.detail,Chi tiết,Details
field.value,Giá trị,Value
field.price,Giá,Price
field.cost,Chi phí,Cost
field.detailInfo,Thông tin chi tiết,Detail information
field.otherInfo,Thông tin khác,Other information
field.additionalInfo,Thông tin bổ sung,Additional information
field.info,Thông tin,Information
field.interactive,Tương tác,Interactive
field.discussion,Thảo luận,Discussion
field.media,Media,Media
field.takePhoto,Chụp ảnh,Take photo
field.status,Trạng thái,Status
field.time,Thời gian,Time
field.number,Số,Number
field.step,Bước,Step
field.success,{} thành công!,{} successfully!
field.error,Lỗi,Error
field.download,Tải xuống,Download
field.transfer,Chuyển giao,Transfer
field.share,Chia sẻ,Share
field.multipleSelect,Chọn nhiều,Multiple select
field.maxSelect,Bạn có tối đa {} lựa chọn!,Maximum selection is {}!
field.report,Báo cáo vi phạm,Report violate
field.updateSuccess,Cập nhật {} thành công!,Update {} successfully!
field.videoFailed,Tải video thất bại,Failed load video
field.invite,Mời,Invite
field.noPermission,Bạn không có quyền truy cập!,Access denied!
field.createdDate,Ngày tạo,Created date
field.updatedDate,Ngày cập nhật,Updated date
field.update,Cập nhật,Updated
field.resultNumber.one,1 kết quả,1 result
field.resultNumber.other,{} kết quả,{} results
field.from,Từ,From
field.to,Đến,To
field.fromDate,Từ ngày,From date
field.toDate,Đến ngày,To date
field.invalidTime,Thời gian không hợp lệ,Invalid time
field.edit2,Chỉnh sửa,Edit
field.uploadImage,Tải ảnh lên,Upload image
field.imageTypeSize,"Chỉ JPG, GIF hoặc PNG lớn nhất là 10MB","Only JPG, GIF or PNG and maximum size is 10MB"
field.cancelAddMsg,Bạn muốn hủy tạo {} này?,Do you want to cancel create this {}?
field.cancelEditMsg,Bạn muốn hủy chỉnh sửa {} này?,Do you want to cancel edit this {}?
field.cancelAdd,Hủy tạo {},Cancel create {}
field.cancelEdit,Hủy chỉnh sửa {},Cancel edit {}
field.wasViewBy,Đã xem bởi,Viewed by
field.hot,"Hot, Gấp","Hot, Urgent"
field.investable,Đầu tư được,Investable
field.invest,Đầu tư,Invest
field.draftSave,Lưu nháp,Draft save
field.underDevelop,Tính năng đang phát triển.,The feature is currently under development.
field.location,Địa điểm,Location
field.today,Hôm nay,Today
field.direction,Hướng,Direction
discuss.reply,Trả lời,Reply
discuss.like,Thích,Like
discuss.viewReply,Xem trả lời,View reply
discuss.typing,Đang trả lời,Typing
crop.guide,Bạn có thể di chuyển hoặc zoom ảnh,You can move and zoom your photo
crop.addImage,Thêm mới ảnh đại diện,Add group picture
crop.updateImage,Cập nhật ảnh đại diện,Update group picture
menu.home,Trang chủ,Home
menu.more,Menu,Menu
menu.note,Ghi chú,Note
menu.notification,Thông báo,Notifications
menu.message,Tin nhắn,Message
menu.feed,Bảng tin,New feeds
menu.project,Dự án,Projects manage
menu.organization,Tổ chức,Organizations
menu.demand,Yêu thích,Favourite
menu.post,Tin đăng,Posts
menu.pricing,Bảng giá,Pricing
menu.account,Tài khoản,Account
menu.rawData,Kho data,Raw data
menu.statistic,Báo cáo,Statistics
menu.investor,Đầu tư,Investors
setting.extend,Chức năng mở rộng,Extended feature
setting.project,Quản lý dự án,Projects manage
setting.organization,Quản lý tổ chức,Organizations manage
setting.demand,Nhu cầu yêu thích,Favourite demands
setting.post,Kho tin đăng,Posts
setting.pricing,Bảng giá dịch vụ,Pricing
setting.account,Quản lý tài khoản,Account
setting.rawData,Kho dữ liệu thô,Raw data
setting.statistic,"Kho báo cáo, thống kê",Statistics
setting.investor,Kho nhà đầu tư,Investors
setting.transaction,Quản lý giao dịch,Transactions
setting.storage,Quản lý dung lượng,Storage
setting.help,Giúp đỡ và hỗ trợ,Help and support
setting.privacy,Quyền riêng tư,Privacy
setting.myFeature,Chức năng của tôi,My feature
setting.addFeature,Thêm mới chức năng,Add feature
setting.preview,Xem trước điều hướng,Navigation preview
setting.selectFeature,Chọn chức năng bạn hay sử dụng (tối đa {}),Select your most used features (max {})
setting.selectFeatureMsg,Bạn chỉ được chọn tối đa {} chức năng!,You can only choose up to {} features!
setting.updateFeatureMsg,Cập nhật vị trí chức năng thành công!,Update feature's position successfully!
setting.logout,Đăng xuất khỏi tài khoản này,Logout from this account
setting.swapAccount,Chuyển đổi tài khoản,Swap account
setting.swapAccountMsg,Bạn chỉ được lưu trữ tối đa 5 tài khoản trên thiết bị!,You can only save up to {} accounts on this device!
setting.loginOtherAccount,Đăng nhập bằng tài khoản khác,Sign in with another account
intro.title.1,"Truy cập mọi lúc, mọi nơi","Access anytime, anywhere"
intro.title.2,Hoạt động hội nhóm hiệu quả,Effective teamwork
intro.title.3,Quản lý khách hàng chuyên nghiệp,Professional customer management
intro.title.4,Bảo mật thông tin khách hàng,Confidentiality of customer information
intro.title.5,Quản lý quỹ hàng linh hoạt,Flexible supply management
intro.title.6,So khớp thông minh,Intelligent matching engine
intro.title.7,Thông báo tức thời,Instant notification
intro.title.8,"Báo cáo chi tiết, minh bạch",Detailed & transparent reports
intro.subTitle.1,"Cập nhật, chỉnh sửa dữ liệu, chia sẻ thông tin và xử lý công việc bất kỳ đâu, bất kỳ lúc nào","Update, edit data; share information; and process work anytime, anywhere"
intro.subTitle.2,"Chia sẻ dữ liệu, cộng tác với các thành viên trong và ngoài nhóm một cách dễ dàng và thuận tiện","Share, collaborate with members inside and outside the group easily and conveniently"
intro.subTitle.3,"Bám sát trạng thái, dữ liệu khách hàng, lưu trữ lịch sử tương tác với khách hàng","Track status & customer data, save interaction history with customers"
intro.subTitle.4,"Phân quyền chuyên sâu, bảo mật từng chi tiết dữ liệu khách hàng",Perform in-depth assignment and protect every detail of customer data
intro.subTitle.5,Lưu trữ thông tin linh hoạt theo đặc điểm từng loại bất động sản và phù hợp với mọi đối tượng,"Store supply information according to the characteristics of each property type, which are suitable for all subjects"
intro.subTitle.6,Tự động so khớp chính xác và liên tục nhu cầu của khách hàng với các bất động sản để nắm bắt cơ hội bán hàng,Automatically and accurately match customer demands with properties to capture sale opportunities
intro.subTitle.7,"Thông báo, nhắc nhở ngay tức thì lịch hẹn, công việc quá hạn, chưa xử lý...","Instantly notify and remind appointments, overdue and unprocessed work"
intro.subTitle.8,"Tổng hợp dữ liệu đầy đủ và báo cáo rõ ràng, được cập nhật theo thời gian thực","Comprehensive data aggreration and transparent reports, real-time update"
intro.tryNow,Trải nghiệm ngay,Try now
auth.termAndPolicy,"Bằng việc tiếp tục, bạn đã đồng ý với -điều khoản sử dụng- của Meey CRM","By continue, you agree to -the terms of use- of Meey CRM"
auth.termAndPolicyDialogTitle,ĐIỀU KHOẢN SỬ DỤNG VÀ CHÍNH SÁCH BẢO MẬT MEEY CRM,TERMS OF USE AND PRIVACY POLICY OF MEEY CRM
auth.loginByEmail,Đăng nhập bằng email / Tên đăng nhập,Log in by email/user name
auth.hello,"Xin chào,","Hi,"
auth.orLoginBy,Hoặc đăng nhập bằng,or
auth.loginOrRegister,Đăng nhập hoặc tạo tài khoản,Login or create new account
auth.enterOtp,Nhập mã xác nhận,Enter verification code
auth.enterOtpMsg,"Để xác minh số điện thoại là của bạn, nhập mã 6 chữ số vừa được gửi đến","To verify our phone number, enter 6-digit verification code sent to"
auth.cantLogin,Nếu không thể đăng nhập hãy liên hệ với chúng tôi,Contact us for support
auth.resend,Gửi lại mã?,Resend?
auth.resendAfter,Gửi lại mã sau,Resend after
auth.didNotReceiveOTP,Không nhận được mã?,Didn't receive OTP?
auth.inputAccountInfo,Nhập thông tin tài khoản,Enter account  information
auth.enterPw,Nhập mật khẩu,Enter password
auth.forgotPw,Quên mật khẩu?,Forgot password?
auth.login,Đăng nhập,Login
auth.resetPwMsg,Nhập mật khẩu tối thiếu 8 ký tự,Enter new password min 8 characters
auth.resetPw,Tạo mật khẩu mới,Create new password
auth.resetPwSuccess,Cập nhật mật khẩu thành công,Update password successfully
auth.inviteCode,Mã giới thiệu,Invite Code
auth.logout,Đăng xuất,Sign Out
auth.confirmAccount,Xác nhận tài khoản,Confirm account
auth.confirmPhoneAccount,Nhập số điện thoại để xác nhận,Please enter phone number to confirm
auth.verifyAccount,Xác thực tài khoản,Verify account
auth.verifyPhoneAccount,Xác thực số điện thoại ngay để nhận được nhiều tiện ích,Verify phone number to use more services
auth.appleResetPwd,Mời nhập thông tin email để đặt lại mật khẩu,Please enter email to reset password
auth.linkAppleAccount,"đã đăng ký tài khoản Meey CRM, nếu bạn muốn liên kết với email đã có, vui lòng xác nhận mật khẩu.","was registered with Meey CRM, please enter password to link with existed email."
auth.linkAppleAccountSuccess,Liên kết tài khoản thành công.,Link account successfully
auth.requestAccepted,Yêu cầu được chấp nhận,Request has been accepted
auth.requestAppleAccepted,Yêu cầu của bạn đã được chấp nhận. Vui lòng kiểm tra email để tiếp tục quy trình đặt lại mật khẩu,Request has been accepted. Please check email to reset password
auth.verifyPhoneMsg,Xác thực số điện thoại ngay để nhận được nhiều tiện ích,Verify phone now for more services
auth.sendOTPMsg,Gửi yêu cầu thành công!,Send request successfully!
auth.maxVerifyOtp,Vượt quá số lần xác thực OTP. Vui lòng thực hiện lại.,Verification by OTP has been exceeded. Please try again later.
auth.maxResendOtp,Vượt quá số lần gửi mã xác thực cho phép (tối đa 3 lần trong vòng 15 phút). Vui lòng thử lại sau.,Resend OTP has been exceeded (maximum 3 times in 15 minutes). Please try again later.
auth.deleteAccountMsg,Thao tác này sẽ xoá tài khoản khỏi hệ thống. Nếu bạn muốn sử dụng lại thì chỉ cần đăng nhập. Bạn có chắc chắn muốn xoá tài khoản?,"This action will remove the account from the system. If you want to use it again, just log in. Are you sure you want to delete your account?"
realEstate.title,Quỹ hàng,Real Estate
realEstate.name,bất động sản,Real Estate
realEstate.needSale,Cần bán,For sale
realEstate.needBuy,Cần mua,For purchase
realEstate.sale,Bán,Sale
realEstate.forRent,Cho thuê,For rent
realEstate.transfer,Sang nhượng,For transfer
realEstate.buy,Mua,Buy
realEstate.rent,Thuê,Rent
realEstate.buyTransfer,Mua sang nhượng,Buy transfer
realEstate.type,Loại nhà đất,Real Estate Types
realEstate.basicInfo,Thông tin cơ bản,Basic Information
realEstate.create,Tạo bất động sản,Create Real Estate
realEstate.createSuccessfully,Tạo bất động sản thành công!,Create real estate successfully!
realEstate.available,Trống,Empty
realEstate.hold,Đặt chỗ,Booked
realEstate.deposit,Đặt cọc,Deposit
realEstate.close,Đóng,Close
realEstate.sector,Khu,Khu
realEstate.zone,Phân khu,Zone
realEstate.project,Dự án,Project
realEstate.projectName,Tên dự án,Project name
realEstate.groupProject,Dự án của nhóm,Group project
realEstate.nationProject,Dự án toàn quốc,Nationwide project
realEstate.city,Tỉnh/ TP,City
realEstate.district,Quận/ huyện,District
realEstate.ward,Phường/ xã,Ward
realEstate.street,Đường/ phố,Street
realEstate.owner,Chính chủ,Owner
realEstate.interestedCustomer,Khách quan tâm,Interested customer
realEstate.interestedBuyCustomer,Khách có nhu cầu mua,Interested purchase customer
realEstate.selectCustomer,Chọn khách hàng,Select customer
realEstate.businessType,Loại hình kinh doanh,Business type
realEstate.rentType,Hình thức thuê,Rent type
realEstate.table,Bảng hàng,Fund table
realEstate.tableName,Tên bảng hàng,Fund table name
realEstate.buildingOrBlock,Tòa/block,Building/block
realEstate.apartmentPos,Tên vị trí căn,Apartment position
realEstate.apartmentNumber,Số thứ tự căn,Apartment number
realEstate.rentBy,Thuê theo {},Rent by {}
realEstate.address,Địa chỉ,Address
realEstate.tags,Tag,Tags
realEstate.table,Bảng,Table
realEstate.deleteReviewMsg,Đánh giá này cũng sẽ bị xoá ở những bất động sản đã được tạo.,This review also deletes from created real estate.
realEstate.reviewPrice,Đánh giá về giá,Review about price
realEstate.coordinates,Tọa độ,Coordinates
realEstate.coordinatesMsg,Vui lòng nhập đầy đủ thông tin trước khi thêm tọa độ mới,Please fill informations before add coordinates
realEstate.interiorGroup,"Nội thất, thiết bị, tiện ích","Interior, equipment, utilities"
realEstate.utilities,Tiện ích,Utilities
realEstate.interiorEquipment,"Nội thất, thiết bị","Interior, equipment"
realEstate.showMoreInteriorEquipment,"Hiển thị thêm nội thất, thiết bị","Show more interior, equipment"
realEstate.balconyDirection,Hướng ban công,Balcony direction
realEstate.interiorCost,Chi phí nội thất,Interior cost
realEstate.totalPrice,Tổng giá,Total price
realEstate.maintanceCost,Phí bảo trì,Maintance cost
realEstate.otherCost,Chi phí khác,Other cost
realEstate.vatAndOtherCost,Phí VAT và các chi phí khác,VAT and other cost
realEstate.contractValue,Tổng giá trị hợp đồng,Total contract value
realEstate.lastPrice,Giá chốt,Last price
realEstate.commission,Hoa hồng,Commission
realEstate.commissionValue,Tiền hoa hồng,Commission value
realEstate.unitPrice,Đơn giá,Unit price
realEstate.roadWidth,Đường rộng,Road width
realEstate.rear,Mặt sau,Rear
realEstate.frontage,Mặt tiền,Frontage
realEstate.depth,Chiều sâu,Depth
realEstate.doorDirection,Hướng cửa,Door direction
realEstate.numberOfFloor,Số tầng,Number of floors
realEstate.floor,Vị trí tầng,Floor
realEstate.numberOfBedRoom,Số phòng ngủ,Number of bed rooms
realEstate.numberOfBathRoom,Số phòng tắm,Number of bath rooms
realEstate.motorSlot,Chỗ để xe máy,Motorbike parking slots
realEstate.carSlot,Chỗ để ô tô,Car parking slots
realEstate.packingSlot,Có chỗ đỗ xe,Parking slots available
realEstate.properties,Đặc điểm,Properties
realEstate.mostProperty,Đặc điểm nổi trội,Outstanding property
realEstate.legalDocument,Tài liệu pháp lý,legal document
realEstate.cons,Nhược điểm,Nhược điểm
realEstate.area,Diện tích,Area
realEstate.centerWallArea,Diện tích tim tường,Center wall area
realEstate.useArea,Diện tích sử dụng,Use area
realEstate.netFloorArea,Diện tích thông thủy,Net floor area
realEstate.grossFloorArea,Diện tích xây dựng,Gross floora area
realEstate.landArea,Diện tích đất,Land area
realEstate.landUnitPrice,Đơn giá đất,Land unit price
realEstate.totalLandPrice,Tổng giá đất,Total land price
realEstate.buildingArea,Diện tích xây dựng,Building area
realEstate.constructionUnitPrice,Đơn giá xây dựng,Construction unit price
realEstate.totalConstructionCost,Tổng giá xây dựng ,Total construction cost
realEstate.basedOnNetFloorArea,theo DT thông thủy,based on net floor area
realEstate.buildingType,Loại căn,BuildingType
realEstate.transferDate,Ngày bàn giao,Transfer date
realEstate.rentalGroup,Đơn vị đang thuê,Rental group
realEstate.source,Nguồn tin,Source
realEstate.contractDuration,Thời hạn hợp đồng,Contract duration
realEstate.noOfPaper,Số tờ,No. of paper
realEstate.noOfPlot,Số thửa,No. of plot
realEstate.extractlyAddress,Địa chỉ cụ thể,Extractly address
realEstate.extractlyAddressInRecord,Địa chỉ hiển thị trong chi tiết BĐS,Extractly address in real estate detail
realEstate.openTransaction,Mở giao dịch,Open transaction
realEstate.notOpenTransaction,Chưa mở giao dịch,Transaction isn't open
realEstate.openTransactionMsg,"Những bất động sản mở giao dịch mới có quyền tạo nhu cầu: Bán, cho thuê, sang nhượng. ","Only open transaction real estate can create demand: Sale, Rent, Transfer."
realEstate.requiredMedia,Bạn cần tải lên tối thiểu 1 ảnh hoặc video!,You need upload atleast 1 image or video!
realEstate.requiredMember,Bạn chưa chọn thành viên nào!,You need select atleast 1 member!
realEstate.media,"Hình ảnh, video","Image, videos"
realEstate.mediaUpload,Tải lên tối thiểu 1 ảnh hoặc 1 video.,Upload atleast 1 image or video.
realEstate.mediaNote1,"Mỗi lượt tải lên tối đa 10 ảnh, video.",Maximum 10 images and videos on each upload
realEstate.mediaNote2,Dung lượng video tối đa 250 MB.,Maximum video size is 250 MB.
realEstate.mediaNote3,Giữ và kéo để sắp xếp vị trí của ảnh khi hiển thị.,Drag and drop to reorder list image.
realEstate.mediaNote4,Ảnh bị khóa không hiển thị với thành viên khác.,Locked image will hide with others member.
realEstate.mediaNote5,"Ảnh, video vi phạm chính sách sản phẩm sẽ bị xóa",Photos and videos that violate product policies will be deleted
realEstate.east,Đông Tứ Trạch,East
realEstate.west,Tây Tứ Trạch,West
realEstate.receiveDate,Ngày nhận,Receive date
realEstate.importDate,Ngày nhập,Import date
realEstate.referralPerson,Người giới thiệu,Referral
realEstate.noticePerson,Người thông báo,Notice person
realEstate.verifier,Người xác minh,Verifier
realEstate.receiver,Người nhận,Receiver
realEstate.customerNotice,KH báo tin,Customer notice
realEstate.informTo,Báo cho ai,Inform to
realEstate.informPerson,người được báo tin,inform person
realEstate.negotiate,Thương lượng,Negotiate
realEstate.beds.one,01 PN,01 bed
realEstate.beds.other,{} PN,{} beds
realEstate.restRoom.one,01 WC,01 WC
realEstate.restRoom.other,{} WC,{} WC
realEstate.motorBike.one,01 xe máy,01 motorbike
realEstate.motorBike.other,{} xe máy,{} motorbikes
realEstate.car.one,01 ô tô,01 car
realEstate.car.other,{} ô tô,{} cars
realEstate.item,Mục,Item
realEstate.item.one,1 mục,1 item
realEstate.item.other,{} mục,{} items
realEstate.delete,Xóa bất động sản,Delete real estate
realEstate.noPermissionDelete.one,Có 1 bất động sản không có quyền xóa.,There is 1 real estates that do not have the permission to delete.
realEstate.noPermissionDelete.other,Có {} bất động sản không có quyền xóa.,There are {} real estates that do not have the permission to delete.
realEstate.deleteSuccessfully,Xóa bất động sản thành công!,Delete real estate successfully!
realEstate.doesntHaveDeletePermission,Bạn không có quyền xoá bất động sản này!,You do not have the permission to delete this real estate!
realEstate.doesntHaveTransferPermission,Bạn không có quyền chuyển giao bất động sản này!,You do not have the permission to transfer this real estate!
realEstate.transferTitle,Chuyển giao bất động sản,Real estate transfer
realEstate.transferSuccessfully,Chuyển giao bất động sản thành công!,Transfer real estate successfully!
realEstate.limitTransfer.one,Bạn chỉ có thể chuyển giao 1 mục.,You can only transfer 1 item.
realEstate.limitTransfer.other,Bạn chỉ có thể chuyển giao {} mục.,You can only transfer {} items.
realEstate.cannotTransfer.one,Có 1 mục không thể chuyển giao.,There is 1 item that cannot be transferred.
realEstate.cannotTransfer.other,Có {} mục không thể chuyển giao.,There are {} items that cannot be transferred.
realEstate.selectMemterToContinue,Vui lòng chọn thành viên để tiếp tục.,Please select a member to continue
realEstate.addCustomer,Thêm khách hàng,Add customer
realEstate.addOwner,Thêm chính chủ,Add owner
realEstate.creator,Người tạo,Creator
realEstate.existDemandTransaction,Những bất động sản này đã tồn tại nhu cầu giao dịch nên bạn không thể xóa,"These real estates already exist in demand for transactions, so you can't delete them."
realEstate.noRightDelete,Bạn không thể xóa những bất động sản này,You cannot delete these properties
realEstate.dataWillDelete.other,Dữ liệu của {} bất động sản đã chọn sẽ bị xóa.,The data of {} selected properties will be deleted.
realEstate.dataWillDelete.one,Dữ liệu bất động sản đã chọn sẽ bị xóa.,The selected real estate data will be deleted.
realEstate.onlyDelete.other,Bạn chỉ có quyền xóa {} bất động sản. ,You can only delete {} real estates.
realEstate.onlyDelete.one,Bạn chỉ có quyền xóa 1 bất động sản. ,You can only delete 1 real estate.
realEstate.cannotDelete.one,Có 1 bất động sản không thể xoá do không có quyền hoặc đã tồn tại nhu cầu giao dịch tương ứng,There is 1 real estate that cannot be deleted because there is no right or there is a need for a corresponding transaction
realEstate.cannotDelete.other,Có {} bất động sản không thể xoá do không có quyền hoặc đã tồn tại nhu cầu giao dịch tương ứng,There are 10 real estates that cannot be deleted due to lack of rights or corresponding transaction needs
realEstate.makeACopy,Tạo bản sao,Make a copy
realEstate.postMeeyLand,Đăng tin Meey Land,Post Meey Land
realEstate.demandCreated,Nhu cầu đã tạo,Demand created
realEstate.otherType,Loại hình khác ,Other type
realEstate.selectType,Chọn loại hình,Select type
realEstate.onlyTwoTypes,Chỉ được chọn thêm tối đa 2 loại!,You can only choose up to 2 types!
realEstate.keepSearchMsg,Bạn có muốn hiển thị danh sách quỹ hàng với từ khóa tìm kiếm hiện tại?,Do you want to display real estates with current search key words?
realEstate.calculateCommmission,Cách thức tính tiền hoa hồng,How to calculate commission
realEstate.fomulaCommmission,Tiền hoa hồng được tính theo giá chốt. Không có giá chốt thì sẽ được tính theo tổng giá trị hợp đồng.,"The commission is calculated according to the closing price. If there is no closing price, it will be calculated according to the total contract value."
realEstate.purposeOfUse,Mục đích sử dụng,Purpose Of Use
realEstate.reason,Lý do {},Reason for {}
realEstate.priceRange,Khoảng giá,Price range
realEstate.areaRange,Khoảng diện tích,Area range
realEstate.rentalFee,Giá thuê,Rental fee
realEstate.graveType,Loại mộ phần,Grave Type
realEstate.searchByCode,Tìm kiếm theo mã hoặc tên,Search by code or name
filter.name,Bộ lọc,Filters
filter.savedFilters,Bộ lọc đã lưu,Saved Filters
filter.clearSavedFilters,Xóa bộ lọc đã lưu,Clear saved filters
filter.removeFilter,Bạn muốn xóa bộ lọc,You want to remove the filter
filter.enterFilterNameToContinue,Nhập tên bộ lọc để tiếp tục,Enter the filter name to continue
filter.saveFilter,Lưu bộ lọc,Save filter
filter.nameFilter,Đặt tên bộ lọc,Enter filter's name
filter.editNameFilter,Sửa tên bộ lọc,Edit filter's name
filter.realEstate,Lọc bất động sản,Filter real estate
filter.customer,Lọc khách hàng,Filter customer
filter.saveFilterToHelp,Lưu bộ lọc giúp bạn tăng tốc trải nghiệm khi tìm kiếm {} mong muốn,Save filters to help you speed up the experience when searching for the desired {}.
filter.apply,Áp dụng bộ lọc:,Apply filter:
filter.select,Chọn bộ lọc,Select filter
filter.thisWeek,Tuần này,This week
